Country,Crop,Production,Global_Production_Share_%,Water_Stress,Agriculture_Withdrawal_Share,Risk_Category,Hotspot_Score
China,Maize (corn),277430136.0,14.99398600012383,41.5185288,62.14454059,Water stressed,3.8686731452561687
China,Potatoes,92360428.0,12.41793866650927,41.5185288,62.14454059,Water stressed,3.2040143186852292
China,Rice,210070577.0,15.730204038549184,41.5185288,62.14454059,Water stressed,4.058628434949371
China,Sugar cane,103897079.0,4.263112997827659,41.5185288,62.14454059,Water stressed,1.0999470567567675
China,Wheat,137726000.0,9.190287483515357,41.5185288,62.14454059,Water stressed,2.37123193154683
Colombia,Maize (corn),1921177.46,0.10383193532729068,3.632281437,82.17445509,Lower water stress,0.0030991833703983467
Colombia,Potatoes,2526330.01,0.3396672340619919,3.632281437,82.17445509,Lower water stress,0.010138413003243368
Colombia,Rice,2608500.0,0.1953259605439916,3.632281437,82.17445509,Lower water stress,0.005830103877163454
Colombia,Sugar cane,35723117.0,1.465793705380478,3.632281437,82.17445509,Lower water stress,0.04375112013303438
Colombia,Wheat,12930.0,0.0008628030812036474,3.632281437,82.17445509,Lower water stress,2.5753010889819962e-05
Comoros,Maize (corn),19227.78,0.0010391843809407243,0.833333333,47.0,Lower water stress,4.070138823723115e-06
Comoros,Potatoes,3494.03,0.0004697753267118185,0.833333333,47.0,Lower water stress,1.8399533622186408e-06
Comoros,Rice,5.0,3.7440283792216137e-07,0.833333333,47.0,Lower water stress,1.4664111146085676e-09
Congo,Maize (corn),13000.0,0.0007025978533262507,0.027446301,4.362050164,Lower water stress,8.411651980901483e-09
Congo,Potatoes,7129.54,0.0009585727606245447,0.027446301,4.362050164,Lower water stress,1.1476238395225387e-08
Congo,Rice,1000.0,7.488056758443227e-05,0.027446301,4.362050164,Lower water stress,8.964861928778734e-10
Congo,Sugar cane,676584.76,0.027761678309436474,0.027446301,4.362050164,Lower water stress,3.323687586564337e-07
Costa Rica,Maize (corn),6706.0,0.0003624324003389106,5.881962457,60.71932866,Lower water stress,1.2944230106360988e-05
Costa Rica,Potatoes,77784.0,0.010458125434799383,5.881962457,60.71932866,Lower water stress,0.0003735107070522476
Costa Rica,Rice,114343.0,0.00856206873930674,5.881962457,60.71932866,Lower water stress,0.00030579326750155336
Costa Rica,Sugar cane,3897888.0,0.15993844251267603,5.881962457,60.71932866,Lower water stress,0.005712182467133589
Croatia,Maize (corn),1641890.0,0.0887375684152183,1.509559804,7.480314961,Lower water stress,0.00010020230950503444
Croatia,Potatoes,103400.0,0.013902218579119822,1.509559804,7.480314961,Lower water stress,1.5698361288798874e-05
Croatia,Rice,0.0,0.0,1.509559804,7.480314961,Lower water stress,0.0
Croatia,Wheat,971470.0,0.06482500458599438,1.509559804,7.480314961,Lower water stress,7.320028359124051e-05
Cuba,Maize (corn),167054.07,0.009028602382416403,23.93944607,64.93749102,Lower water stress,0.0014035572413712816
Cuba,Potatoes,92942.13,0.012496148998732783,23.93944607,64.93749102,Lower water stress,0.00194261079107703
Cuba,Rice,143812.0,0.010768724185452374,23.93944607,64.93749102,Lower water stress,0.0016740709326460012
Cuba,Sugar cane,7000000.0,0.2872245425185978,23.93944607,64.93749102,Lower water stress,0.044650995743998716
Cyprus,Potatoes,85160.0,0.011449834953557485,30.48113723,61.24567474,Water stressed,0.0021374984883914616
Cyprus,Rice,0.0,0.0,30.48113723,61.24567474,Water stressed,0.0
Cyprus,Wheat,31100.0,0.0020752649516963214,30.48113723,61.24567474,Water stressed,0.00038741830910710476
Czechia,Maize (corn),639470.0,0.034560788405118274,21.97384428,3.042876902,Lower water stress,0.0002310862298545912
Czechia,Potatoes,655260.0,0.08810026833804693,21.97384428,3.042876902,Lower water stress,0.0005890710194678907
Czechia,Rice,0.0,0.0,21.97384428,3.042876902,Lower water stress,0.0
Czechia,Wheat,5188690.0,0.3462349357626105,21.97384428,3.042876902,Lower water stress,0.002315054998498794
Democratic People's Republic of Korea,Maize (corn),2300000.0,0.12430577405002899,27.7404678,76.34733997,Water stressed,0.026326855703208633
Democratic People's Republic of Korea,Potatoes,536176.99,0.0720894556293476,27.7404678,76.34733997,Water stressed,0.01526790457306398
Democratic People's Republic of Korea,Rice,2140000.0,0.16024441463068506,27.7404678,76.34733997,Water stressed,0.03393833965853653
Democratic People's Republic of Korea,Wheat,88600.0,0.005912169605154151,27.7404678,76.34733997,Water stressed,0.0012521448603437016
Democratic Republic of the Congo,Maize (corn),2283672.0,0.12342331114625121,0.226883505,10.51784669,Lower water stress,2.9452824677722597e-05
Democratic Republic of the Congo,Potatoes,105457.0,0.014178783991278908,0.226883505,10.51784669,Lower water stress,3.3835199781959638e-06
Democratic Republic of the Congo,Rice,1692323.0,0.12672210677618917,0.226883505,10.51784669,Lower water stress,3.024002483005907e-05
Democratic Republic of the Congo,Sugar cane,2416432.34,0.09915123905480641,0.226883505,10.51784669,Lower water stress,2.366071719628204e-05
Democratic Republic of the Congo,Wheat,9000.0,0.0006005589892368776,0.226883505,10.51784669,Lower water stress,1.4331294837540337e-07
Denmark,Maize (corn),60690.0,0.003280051055259243,25.26636019,54.20741692,Water stressed,0.00044924370429688784
Denmark,Potatoes,2617600.0,0.35193856240526156,25.26636019,54.20741692,Water stressed,0.04820235441346355
Denmark,Rice,0.0,0.0,25.26636019,54.20741692,Water stressed,0.0
Denmark,Wheat,4165400.0,0.27795204597414336,25.26636019,54.20741692,Water stressed,0.03806898266114152
Djibouti,Maize (corn),17.22,9.306719257136952e-07,6.333333333,15.78947368,Lower water stress,9.30671925416533e-09
Djibouti,Sugar cane,55.69,2.285076396122959e-06,6.333333333,15.78947368,Lower water stress,2.2850763953933377e-08
Dominica,Maize (corn),193.13,1.0437901800992215e-05,10.0,5.0,Lower water stress,5.2189509004961084e-08
Dominica,Potatoes,149.36,2.008157995142492e-05,10.0,5.0,Lower water stress,1.0040789975712461e-07
Dominica,Sugar cane,4894.28,0.0002008224762797033,10.0,5.0,Lower water stress,1.0041123813985167e-06
Dominican Republic,Maize (corn),62824.95,0.003395436538871464,39.55331412,83.31221979,Water stressed,0.0011188895101290925
Dominican Republic,Potatoes,92425.03,0.012426624460751517,39.55331412,83.31221979,Water stressed,0.004094913745632755
Dominican Republic,Rice,1006100.0,0.07533733904669732,39.55331412,83.31221979,Water stressed,0.024825720467862203
Dominican Republic,Sugar cane,5799880.0,0.23798112566610932,39.55331412,83.31221979,Water stressed,0.0784213110945152
Ecuador,Maize (corn),1641131.23,0.08869655994035919,6.782352941,81.4277072,Lower water stress,0.004898457771565989
Ecuador,Potatoes,251433.39,0.03380543467958491,6.782352941,81.4277072,Lower water stress,0.0018669776408321492
Ecuador,Rice,1252800.0,0.09381037506977676,6.782352941,81.4277072,Lower water stress,0.005180879180918179
Ecuador,Sugar cane,7740492.1,0.31760847175590295,6.782352941,81.4277072,Lower water stress,0.01754060910405134
Ecuador,Wheat,7431.0,0.0004958615387799153,6.782352941,81.4277072,Lower water stress,2.738501707270734e-05
Egypt,Maize (corn),6857490.0,0.3706198271697101,141.1657559,79.16129032,High-pressure hotspot,0.41416259367800645
Egypt,Potatoes,7210464.0,0.9694530617492709,141.1657559,79.16129032,High-pressure hotspot,1.083350552422839
Egypt,Rice,4300578.0,0.3220297215811226,141.1657559,79.16129032,High-pressure hotspot,0.3598638144914236
Egypt,Sugar cane,15564534.0,0.6386451653807375,141.1657559,79.16129032,High-pressure hotspot,0.713677247528604
Egypt,Wheat,9622993.0,0.6421305499459499,141.1657559,79.16129032,High-pressure hotspot,0.7175721171650108
El Salvador,Maize (corn),779043.0,0.042104149188372485,12.09309202,72.78630208,Lower water stress,0.0037060554159649996
El Salvador,Potatoes,7727.0,0.0010389017694473776,12.09309202,72.78630208,Lower water stress,9.144532316970217e-05
El Salvador,Rice,14504.0,0.0010860677522446058,12.09309202,72.78630208,Lower water stress,9.55969269751355e-05
El Salvador,Sugar cane,7350297.0,0.30159795617154606,12.09309202,72.78630208,Lower water stress,0.026546997397164093
Eritrea,Maize (corn),20000.0,0.0010809197743480781,11.17511521,94.50171821,Lower water stress,0.0001141524339500657
Eritrea,Potatoes,58.1,7.811594772213362e-06,11.17511521,94.50171821,Lower water stress,8.249572053740732e-07
Eritrea,Wheat,25000.0,0.0016682194145468824,11.17511521,94.50171821,Lower water stress,0.00017617524542756446
Estonia,Maize (corn),0.0,0.0,13.04628519,0.414783445,Lower water stress,0.0
Estonia,Potatoes,72620.0,0.009763821210983379,13.04628519,0.414783445,Lower water stress,5.283577724446869e-06
Estonia,Rice,0.0,0.0,13.04628519,0.414783445,Lower water stress,0.0
Estonia,Wheat,854120.0,0.05699438265411133,13.04628519,0.414783445,Lower water stress,3.0841843997626255e-05
Eswatini,Maize (corn),127000.0,0.006863840567110296,77.55991285,94.19475655,High-pressure hotspot,0.005014541474101955
Eswatini,Potatoes,8576.84,0.001153163485475223,77.55991285,94.19475655,High-pressure hotspot,0.0008424709268516656
Eswatini,Rice,1000.0,7.488056758443227e-05,77.55991285,94.19475655,High-pressure hotspot,5.470577413404484e-05
Eswatini,Sugar cane,5539396.0,0.22729292598990727,77.55991285,94.19475655,High-pressure hotspot,0.16605423640051473
Eswatini,Wheat,719.66,4.802203135491237e-05,77.55991285,94.19475655,High-pressure hotspot,3.50836336516502e-05
Ethiopia,Maize (corn),11853521.14,0.6406352697939487,32.25718654,91.83644448,Water stressed,0.18978085191998134
Ethiopia,Potatoes,4186455.13,0.5628724786164166,32.25718654,91.83644448,Water stressed,0.1667445168114034
Ethiopia,Rice,290790.37,0.02177454795368707,32.25718654,91.83644448,Water stressed,0.006450460122422457
Ethiopia,Sugar cane,815326.91,0.03345455696112171,32.25718654,91.83644448,Water stressed,0.009910528845421356
Ethiopia,Wheat,6231427.18,0.41581551208044515,32.25718654,91.83644448,Water stressed,0.12318057691321256
Fiji,Maize (corn),1685.19,9.107775972668188e-05,0.29737303,58.89281508,Lower water stress,1.5950570893472947e-07
Fiji,Potatoes,0.0,0.0,0.29737303,58.89281508,Lower water stress,0.0
Fiji,Rice,13356.0,0.0010001048606576774,0.29737303,58.89281508,Lower water stress,1.7514971304409286e-06
Fiji,Sugar cane,1639000.0,0.06725157502685455,0.29737303,58.89281508,Lower water stress,0.00011777859033672553
Finland,Maize (corn),0.0,0.0,7.11406213,35.72602427,Lower water stress,0.0
Finland,Potatoes,533290.0,0.07170129735066547,7.11406213,35.72602427,Lower water stress,0.0018223397838717566
Finland,Rice,0.0,0.0,7.11406213,35.72602427,Lower water stress,0.0
Finland,Wheat,844240.0,0.05633510234148239,7.11406213,35.72602427,Lower water stress,0.0014317969411806952
France,Maize (corn),10877190.0,0.5878684880170585,21.38462716,10.29637556,Lower water stress,0.012943932478606151
France,Potatoes,8067380.0,1.0846661520388747,21.38462716,10.29637556,Lower water stress,0.023882629737781328
France,Rice,64480.0,0.0048282989978441935,21.38462716,10.29637556,Lower water stress,0.00010631149226152002
France,Wheat,34632380.0,2.310976347518606,21.38462716,10.29637556,Lower water stress,0.050884036841023356
Gabon,Maize (corn),46012.39,0.002486785110800788,0.502166065,28.97196262,Lower water stress,3.617958122016812e-06
